Actie;Actie omschrijving;Beleidsitem;Beleidsitem omschrijving;Ontvangst/uitgave;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Krediet 2016;Rekening 2015;Vorderingstaten 2016 tot nu;Nog te innen;Verschil 2016 - (2015);Verschil % 2016-2015;;Bijkomend BW 1-2016;Krediet na BW 1-2016;Opmerkingen;invloed MJP
GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;O;7050003;Opbrengsten uit verpachtingen;IE-GEEN; € 6.753,76 ; € 6.731,22 ; € -   ; € 6.753,76 ;-6731,22;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;O;7050999;Andere huuropbrengsten;IE-GEEN; € 5.300,00 ; € 5.316,33 ; € 5.474,08 ; € -174,08 ;157,75;2,97 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0050-00;Patrimonium zonder maatschappelijk doel;O;7060002;Opbrengsten uit jachtrechten;IE-GEEN; € 1.256,06 ; € 1.243,62 ; € -   ; € 1.256,06 ;-1243,62;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0090-00;Overige algemene financiering;O;7040999;Andere terugvorderingen en tussenkomsten;IE-GEEN; € 300,00 ; € 135,04 ; € -   ; € 300,00 ;-135,04;-100,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0100-00;Politieke organen;O;7440000;Inhouding pensioen;IE-GEEN; € 13.200,00 ; € 13.177,08 ; € 8.828,70 ; € 4.371,30 ;-4348,38;-33,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0110-00;Secretariaat;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 300,00 ; € 366,24 ; € 264,87 ; € 35,13 ;-101,37;-27,68 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;O;7405999;Overige werkingstoelage aangaande personeelsaangelegenheden;IE-GEEN; € 7.200,00 ; € 7.208,72 ; € 1.802,18 ; € 5.397,82 ;-5406,54;-75,00 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 450,00 ; € 488,32 ; € 200,56 ; € 249,44 ;-287,76;-58,93 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0111-00;Fiscale en financiële diensten;O;7599999;Andere financiÃ«le opbrengsten;IE-GEEN; € 5,00 ; € 3,35 ; € 1,86 ; € 3,14 ;-1,49;-44,48 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;O;7406999;Overige specifieke projectsubsidies;IE-GEEN; € -   ; € -   ; € -   ; € -   ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;O;7450000;Recuperaties van kosten;IE-GEEN; € -   ; € -   ; € 34,50 ; € -34,50 ;34,5;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0112-00;Personeelsdienst en vorming;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 250,00 ; € 241,98 ; € 146,06 ; € 103,94 ;-95,92;-39,64 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;O;7040999;Andere terugvorderingen en tussenkomsten;IE-GEEN; € -   ; € 236,80 ; € 121,80 ; € -121,80 ;-115;-48,56 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;O;7080000;Toegekende kortingen, ristorno's en rabatten (-);IE-GEEN; € 100,00 ; € -   ; € -   ; € 100,00 ;0;-;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0119-00;Overige algemene diensten;O;7470000;Werknemersinhouding maaltijdcheques;IE-GEEN; € 1.200,00 ; € 1.273,12 ; € 796,79 ; € 403,21 ;-476,33;-37,41 %;;;;;
GBB-CBS;Gelijkblijvend beleid CBS;0130-00;Administratieve dienstverlening;O;7005003;Opbrengsten automaten;IE-GEEN; € -   ; € -   ; € 239,63 ; € -239,63 ;239,63;-;;;;;
