Code;Actie;Actie omschrijving;Beleidsitem code;Algemene rekening;Algemene rekening omschrijving;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;totaal per project;;;;;;;;
BP2014_2023-5./4.3.3.2/0720-03/2210700/BESTUUR/CBS/IE6/U;4.3.3.2;Vernieuwen van het dak van de Sint-Hilariuskerk;0720-03;2210700;Gebouwen - erediensten - gemeenschapsgoederen;IE6;restauratie Sint-hilariuskerk dak;;;;;0;349010.79;349010.79;;;;;698021.58;;;;;;;;
BP2014_2023-5./4.3.3.4/0720-01/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;Ondersteunen van andere investeringsprojecten uit de meerjarenplannen van de kerkfabrieken;0720-01;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;2377.65;9999.9500000000007;;;50000;;;;;;;62377.599999999999;;;;;;;;
BP2014_2023-5./4.3.3.4/0720-02/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;Ondersteunen van andere investeringsprojecten uit de meerjarenplannen van de kerkfabrieken;0720-02;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;;;;31255.48;85953.739999999991;49369.36;22868.83;;;;;189447.40999999997;;eigenlijk is 156.277,42 euro in totaal genoeg volgens excel 'berekening restauratiepremie Heilig Kruis.xlsx' in map O:\Gemeente\Financien\documenten\budgetten\erediensten;;;;;;
BP2014_2023-5./4.3.3.4/0720-03/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;Ondersteunen van andere investeringsprojecten uit de meerjarenplannen van de kerkfabrieken;0720-03;6640000;Toegestane investeringssubsidies;IE6;Toegestane investeringssubsidies;5000;15000;;51423.63;21723.530000000002;10000;11852.84;;;;;115000;;21723.53;0;;;;;
BP2014_2023-5./4.3.3.4/0720-04/6640000/BESTUUR/CBS/IE6/U;4.3.3.4;Ondersteunen van andere investeringsprojecten uit de meerjarenplannen van de kerkfabrieken;0720-04;6640000;Toegestane investeringssubsidies;IE6;Overdracht krediet van 2017 naar 2018;4000.43;36305.72;;;0;8000;;;;;;48306.15;;;;;;;;
BP2014_2023-5./5.1.1.3/0800-02/2410000/BESTUUR/CBS/IE6/U;5.1.1.3;Stapsgewijs uitbreiden van het aanbod aan smartboards in de klassen;0800-02;2410000;Informaticamaterieel - gemeenschapsgoederen;IE6;Overdracht krediet van 2015 naar 2016;;11289.14;;10210.85;0;;6000;6000;6000;6000;;45499.99;;;;;;;;
BP2014_2023-5./5.1.3.2/0800-01/2210200/BESTUUR/CBS/IE6/U;5.1.3.2;Inrichten van een mogelijke alternatieve locatie voor de kleutervestiging Centrum;0800-01;2210200;Gebouwen - schoolgebouwen - gemeenschapsgoederen;IE6;Overdracht krediet van 2017 naar 2018;;;;415267.26;0;;;;;;;415267.26;;;;;;;;
BP2014_2023-5./5.1.3.3/0800-02/2210200/BESTUUR/CBS/IE6/U;5.1.3.3;Voorzien van extra sanitair in de schoolgebouwen;0800-02;2210200;Gebouwen - schoolgebouwen - gemeenschapsgoederen;IE6;Extra sanitair;;;;;10726.73;;;;;;;10726.73;;;;;;;;
BP2014_2023-5./5.1.3.4/0800-01/2140000/BESTUUR/CBS/IE6/U;5.1.3.4;Verfraaien en renoveren van de schoolgebouwen;0800-01;2140000;Plannen en studies;IE6;Plannen en studies;;;;;;10000;;;10000;;;20000;;;;;;;;
BP2014_2023-5./5.1.3.4/0800-01/2210200/BESTUUR/CBS/IE6/U;5.1.3.4;Verfraaien en renoveren van de schoolgebouwen;0800-01;2210200;Gebouwen - schoolgebouwen - gemeenschapsgoederen;IE6;Gebouwen - schoolgebouwen - gemeenschapsgoederen;19053.080000000002;;;;12000;19000;;;200000;;;250053.08000000002;;;;;;;;
BP2014_2023-5./5.1.3.4/0800-02/2140000/BESTUUR/CBS/IE6/U;5.1.3.4;Verfraaien en renoveren van de schoolgebouwen;0800-02;2140000;Plannen en studies;IE6;Plannen en studies;;;;;0;10000;;;55000;;;65000;;;;;;;;
